species name (Eng)_maria,species name (Eng),Form_Taxon,Family,Form_Strukture,Goal_unit,Count_variabel,a,b,Min,Max,Regression,Source_ref,Notes,
Atlantic Mackerel,Mackerel,Scomber scombrus,Scombridae,Flesh,Weight (FW),FL,0.22,2.85,18,46,Y=(aX)^b,Leopold et al. (2001),,
Turbot/Brill,Turbot/Brill,Scophthalmidae,Scophthalmidae,Otolith,Weight (FW),OW,1.51,3.51,0.8,3.7,Y=(aX)^b,Leopold et al. (2001),regression for Brill,
Turbot,Turbot,Scophthalmus maximus,Scophthalmidae,Otolith,Weight (FW),OL,3.61,3.03,1.5,8,Y=aX^b,Härkönen (1986),NA,
Turbot ,Turbot ,Scophthalmus maximus,Scophthalmidae,Otolith,Weight (FW),OW,1.66,3.42,0.2,5.1,Y=a+bX,Leopold et al. (2001),NA,
Turbot ,Turbot ,Scophthalmus maximus,Scophthalmidae,Flesh,Weight (FW),FL,0.25,3.18,1.1,35.5,Y=a+bX,Leopold et al. (2001),,
Brill,Brill,Scophthalmus rhombus,Scophthalmidae,Otolith,Weight (FW),OW,1.51,3.51,0.8,3.7,Y=(aX)^b,Leopold et al. (2001),NA,
Brill,Brill,Scophthalmus rhombus,Scophthalmidae,Flesh,Weight (FW),FL,12.1,3.025302,6.5,40.5,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,NA,
Small-spotted Catshark,Small-spotted Catshark,Scyliorhinus caniculus,Scyliorhinidae,Flesh,Weight (FW),FL,1.6,3.206,,,W(g)=(a*10^-6* L(cm)^b) *1000,Fishbase,NA,
Common Sole,Sole,Solea solea,Soleidae,Otolith,Weight (FW),OW,1.16,4.07,0.5,4.6,Y=(aX)^b,Leopold et al. (2001),NA,
Common Sole,Sole,Solea solea,Soleidae,Flesh,Weight (FW),FL,0.2,3.05,2.8,42.9,Y=(aX)^b,Leopold et al. (2001),,
Fifteen-spined Stickleback,Fifteen-spined Stickleback,Spinachia spinachia,Gasterosteidae,Flesh,Weight (FW),FL,3,2.964,,,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,NA,
European Sprat,Sprat,Sprattus sprattus BALTIC,Clupeidae,Otolith,Weight (FW),OW,6.17,2.45,0.8,1.4,Y=(aX)^b,Lundstršm et al 2010,Baltic,
European Sprat,Sprat,Sprattus sprattus,Clupeidae,Flesh,Weight (FW),FL,0.18,3.5,6.8,15,Y=(aX)^b,Leopold et al. (2001),,
Spiny Dogfish,Spiny Dogfish,Squalus acanthias,Squalidae,Flesh,Weight (FW),FL,1,3.2568,,,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,NA,
Corkwing Wrasse,Corkwing Wrasse,Symphodus melops,Labridae,Flesh,Weight (FW),FL,11.8,3.086519,4.5,19.1,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,NA,
Syngnathidae,Syngnathidae,Syngnathidae,Syngnathidae,Flesh,Weight (FW),FL,0.475,2.998418,16.5,50.5,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,Syngnathus acus L.,
Greater Pipefish,Greater Pipefish,Syngnathus acus L.,Syngnathidae,Flesh,Weight (FW),FL,0.475,2.998418,16.5,50.5,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,NA,
Nilsson's Pipefish,Nilsson's Pipefish,Syngnathus rostellatus,Syngnathidae,Flesh,Weight (FW),FL,0.5,2.7406,,,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,NA,
Broad-nosed Pipefish,Broad-nosed Pipefish,Syngnathus typhle,Syngnathidae,Flesh,Weight (FW),FL,24,3.142758,,,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,NA,
Long-spined Sea Scorpion,Longspined bullhead,Taurulus bubalis,Cottidae,Otolith,Weight (FW),OL,0.6398,2.988,2.4,4.6,Y=aX^b,Härkönen (1986),NA,
Long-spined Sea Scorpion,Long-spined Sea Scorpion,Taurulus bubalis,Cottidae,Flesh,Weight (FW),FL,10.2,3.1998,5.5,18.5,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,NA,
