Sample ID,Sample from,Subarea,Prey species (Eng),Prey remain,Left otolith,Right otolith,Wear class,n,Magnification,Otolith width lupp,Otolith length lupp,Otolith width (mm),Otolith length  (mm),Prey length measured (cm),Notes,Prey species (Eng),Family,Scientific Name
KS_2024_04,colon,O-Län,Herring,otolith,NA,NA,1,1,NA,NA,NA,1.542,3.139,NA,NA,Herring,Clupeidae,Clupea harengus
KS_2024_04,colon,O-Län,Herring,otolith,NA,NA,2,1,NA,NA,NA,1.305,2.95,NA,NA,Herring,Clupeidae,Clupea harengus
KS_2024_04,colon,O-Län,Eelpout,otolith,NA,NA,1,1,NA,NA,NA,1.755,3.351,NA,green bones,Viviparous Eelpout,Zoarcidae,Zoarces viviparus
KS_2024_04,colon,O-Län,unknown,otolith,NA,NA,2,1,NA,NA,NA,1.791,3.097,NA,Hooknose Agonus cataphractus?; Angler Lophius pescatoris?,Unknown,Unknown,Unknown
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,1,1,NA,NA,NA,1.183,1.861,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,1,1,NA,NA,NA,1.117,1.594,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,1,1,NA,NA,NA,1.157,1.838,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,1,1,NA,NA,NA,1.185,1.931,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,1,1,NA,NA,NA,1.104,1.608,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,1,1,NA,NA,NA,1.102,1.833,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,1,1,NA,NA,NA,0.967,1.59,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,1,1,NA,NA,NA,1.09,1.543,NA,NA,Sprat,Clupeidae,Sprattus sprattus
